"Date","Citations","Cited Pages"
"5/26/2026 12:00:00 AM","0","0"
"5/27/2026 12:00:00 AM","2","1"
"5/28/2026 12:00:00 AM","4","2"
"5/29/2026 12:00:00 AM","3","3"
"5/30/2026 12:00:00 AM","0","0"
"5/31/2026 12:00:00 AM","0","0"
"6/1/2026 12:00:00 AM","0","0"
"6/2/2026 12:00:00 AM","5","2"
"6/3/2026 12:00:00 AM","0","0"
"6/4/2026 12:00:00 AM","0","0"
"6/5/2026 12:00:00 AM","0","0"
"6/6/2026 12:00:00 AM","1","1"
"6/7/2026 12:00:00 AM","0","0"
"6/8/2026 12:00:00 AM","1","1"
"6/9/2026 12:00:00 AM","2","1"
"6/10/2026 12:00:00 AM","0","0"
"6/11/2026 12:00:00 AM","0","0"
"6/12/2026 12:00:00 AM","0","0"
"6/13/2026 12:00:00 AM","0","0"
"6/14/2026 12:00:00 AM","6","4"
"6/15/2026 12:00:00 AM","1","1"
"6/16/2026 12:00:00 AM","3","2"
"6/17/2026 12:00:00 AM","8","2"
"6/18/2026 12:00:00 AM","43","3"
"6/19/2026 12:00:00 AM","137","2"
"6/20/2026 12:00:00 AM","154","2"
"6/21/2026 12:00:00 AM","104","1"
"6/22/2026 12:00:00 AM","1","1"
"6/23/2026 12:00:00 AM","2","1"
"6/24/2026 12:00:00 AM","2","2"
"6/25/2026 12:00:00 AM","221","5"
"6/26/2026 12:00:00 AM","7","3"
"6/27/2026 12:00:00 AM","1","1"
"6/28/2026 12:00:00 AM","3","1"
"6/29/2026 12:00:00 AM","12","2"
"6/30/2026 12:00:00 AM","8","1"
"7/1/2026 12:00:00 AM","3","2"
"7/2/2026 12:00:00 AM","5","3"
"7/3/2026 12:00:00 AM","7","2"
"7/4/2026 12:00:00 AM","2","1"
"7/5/2026 12:00:00 AM","0","0"
"7/6/2026 12:00:00 AM","1","1"
"7/7/2026 12:00:00 AM","9","3"
"7/8/2026 12:00:00 AM","3","1"
"7/9/2026 12:00:00 AM","8","3"
"7/10/2026 12:00:00 AM","3","3"
"7/11/2026 12:00:00 AM","0","0"
"7/12/2026 12:00:00 AM","22","3"
"7/13/2026 12:00:00 AM","15","4"
"7/14/2026 12:00:00 AM","58","3"
"7/15/2026 12:00:00 AM","25","2"
"7/16/2026 12:00:00 AM","18","1"
"7/17/2026 12:00:00 AM","18","2"
"7/18/2026 12:00:00 AM","202","2"
"7/19/2026 12:00:00 AM","259","2"
"7/20/2026 12:00:00 AM","313","3"
"7/21/2026 12:00:00 AM","218","2"
"7/22/2026 12:00:00 AM","249","1"
"7/23/2026 12:00:00 AM","311","2"
"7/24/2026 12:00:00 AM","411","3"
"7/25/2026 12:00:00 AM","19","2"
"7/26/2026 12:00:00 AM","48","2"
"7/27/2026 12:00:00 AM","434","2"
"7/28/2026 12:00:00 AM","307","2"
"7/29/2026 12:00:00 AM","391","1"
"7/30/2026 12:00:00 AM","292","3"
"7/31/2026 12:00:00 AM","398","1"
"8/1/2026 12:00:00 AM","40","3"
"8/2/2026 12:00:00 AM","647","2"
"8/3/2026 12:00:00 AM","43","3"
"8/4/2026 12:00:00 AM","636","2"
"8/5/2026 12:00:00 AM","173","2"
"8/6/2026 12:00:00 AM","446","1"
"8/7/2026 12:00:00 AM","328","4"
"8/8/2026 12:00:00 AM","115","1"
"8/9/2026 12:00:00 AM","236","1"
"8/10/2026 12:00:00 AM","152","2"
"8/11/2026 12:00:00 AM","316","4"
"8/12/2026 12:00:00 AM","64","3"
"8/13/2026 12:00:00 AM","46","4"
"8/14/2026 12:00:00 AM","38","2"
"8/15/2026 12:00:00 AM","81","1"
"8/16/2026 12:00:00 AM","17","1"
"8/17/2026 12:00:00 AM","113","1"
"8/18/2026 12:00:00 AM","90","1"
"8/19/2026 12:00:00 AM","44","3"
"8/20/2026 12:00:00 AM","106","3"
"8/21/2026 12:00:00 AM","37","4"
"8/22/2026 12:00:00 AM","23","1"
"8/23/2026 12:00:00 AM","18","3"
"8/24/2026 12:00:00 AM","81","4"
