"Date","Clicks","Impressions","Avg. CTR"
"5/26/2026 12:00:00 AM","0","2","0"
"5/27/2026 12:00:00 AM","1","10","10"
"5/28/2026 12:00:00 AM","0","9","0"
"5/29/2026 12:00:00 AM","0","11","0"
"5/30/2026 12:00:00 AM","0","2","0"
"5/31/2026 12:00:00 AM","2","10","20"
"6/1/2026 12:00:00 AM","1","13","7.69"
"6/2/2026 12:00:00 AM","2","16","12.5"
"6/3/2026 12:00:00 AM","0","18","0"
"6/4/2026 12:00:00 AM","0","10","0"
"6/5/2026 12:00:00 AM","0","5","0"
"6/6/2026 12:00:00 AM","0","17","0"
"6/7/2026 12:00:00 AM","1","35","2.86"
"6/8/2026 12:00:00 AM","0","48","0"
"6/9/2026 12:00:00 AM","2","61","3.28"
"6/10/2026 12:00:00 AM","2","60","3.33"
"6/11/2026 12:00:00 AM","1","24","4.17"
"6/12/2026 12:00:00 AM","0","75","0"
"6/13/2026 12:00:00 AM","0","51","0"
"6/14/2026 12:00:00 AM","0","37","0"
"6/15/2026 12:00:00 AM","0","29","0"
"6/16/2026 12:00:00 AM","1","23","4.35"
"6/17/2026 12:00:00 AM","0","16","0"
"6/18/2026 12:00:00 AM","0","34","0"
"6/19/2026 12:00:00 AM","0","23","0"
"6/20/2026 12:00:00 AM","0","24","0"
"6/21/2026 12:00:00 AM","0","22","0"
"6/22/2026 12:00:00 AM","5","43","11.63"
"6/23/2026 12:00:00 AM","2","28","7.14"
"6/24/2026 12:00:00 AM","0","23","0"
"6/25/2026 12:00:00 AM","0","49","0"
"6/26/2026 12:00:00 AM","0","24","0"
"6/27/2026 12:00:00 AM","0","9","0"
"6/28/2026 12:00:00 AM","0","14","0"
"6/29/2026 12:00:00 AM","3","17","17.65"
"6/30/2026 12:00:00 AM","0","26","0"
"7/1/2026 12:00:00 AM","2","29","6.9"
"7/2/2026 12:00:00 AM","3","18","16.67"
"7/3/2026 12:00:00 AM","0","8","0"
"7/4/2026 12:00:00 AM","1","5","20"
"7/5/2026 12:00:00 AM","1","5","20"
"7/6/2026 12:00:00 AM","1","29","3.45"
"7/7/2026 12:00:00 AM","0","39","0"
"7/8/2026 12:00:00 AM","1","35","2.86"
"7/9/2026 12:00:00 AM","0","42","0"
"7/10/2026 12:00:00 AM","0","20","0"
"7/11/2026 12:00:00 AM","1","13","7.69"
"7/12/2026 12:00:00 AM","0","9","0"
"7/13/2026 12:00:00 AM","4","193","2.07"
"7/14/2026 12:00:00 AM","9","53","16.98"
"7/15/2026 12:00:00 AM","1","44","2.27"
"7/16/2026 12:00:00 AM","0","32","0"
"7/17/2026 12:00:00 AM","1","26","3.85"
"7/18/2026 12:00:00 AM","0","30","0"
"7/19/2026 12:00:00 AM","0","49","0"
"7/20/2026 12:00:00 AM","2","81","2.47"
"7/21/2026 12:00:00 AM","0","78","0"
"7/22/2026 12:00:00 AM","4","71","5.63"
"7/23/2026 12:00:00 AM","0","72","0"
"7/24/2026 12:00:00 AM","0","69","0"
"7/25/2026 12:00:00 AM","0","5","0"
"7/26/2026 12:00:00 AM","1","22","4.55"
"7/27/2026 12:00:00 AM","2","93","2.15"
"7/28/2026 12:00:00 AM","3","83","3.61"
"7/29/2026 12:00:00 AM","2","77","2.6"
"7/30/2026 12:00:00 AM","3","85","3.53"
"7/31/2026 12:00:00 AM","0","79","0"
"8/1/2026 12:00:00 AM","0","5","0"
"8/2/2026 12:00:00 AM","0","96","0"
"8/3/2026 12:00:00 AM","2","50","4"
"8/4/2026 12:00:00 AM","1","118","0.85"
"8/5/2026 12:00:00 AM","1","58","1.72"
"8/6/2026 12:00:00 AM","0","113","0"
"8/7/2026 12:00:00 AM","0","83","0"
"8/8/2026 12:00:00 AM","1","29","3.45"
"8/9/2026 12:00:00 AM","0","55","0"
"8/10/2026 12:00:00 AM","1","71","1.41"
"8/11/2026 12:00:00 AM","0","92","0"
"8/12/2026 12:00:00 AM","0","43","0"
"8/13/2026 12:00:00 AM","1","52","1.92"
"8/14/2026 12:00:00 AM","1","39","2.56"
"8/15/2026 12:00:00 AM","0","15","0"
"8/16/2026 12:00:00 AM","1","26","3.85"
"8/17/2026 12:00:00 AM","5","68","7.35"
"8/18/2026 12:00:00 AM","2","51","3.92"
"8/19/2026 12:00:00 AM","1","50","2"
"8/20/2026 12:00:00 AM","2","80","2.5"
"8/21/2026 12:00:00 AM","1","60","1.67"
"8/22/2026 12:00:00 AM","1","12","8.33"
"8/23/2026 12:00:00 AM","0","30","0"
"8/24/2026 12:00:00 AM","0","51","0"
